Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
2018-01-01 04:10:00,1724.48803710937,8.37616157531738,1752.19966204818,252.41259765625
2018-01-01 04:20:00,1636.93505859375,8.23695755004882,1668.47070685152,247.979400634765
2018-01-01 14:20:00,1482.4599609375,8.18645191192626,1638.50890923271,238.479095458984
2018-01-01 14:30:00,1523.43005371093,8.27493000030517,1691.1470390233,237.033203125
2018-01-01 14:40:00,1572.17004394531,8.44920253753662,1796.76309010091,238.332397460937
2018-01-01 14:50:00,1698.93994140625,8.5759744644165,1875.04719734159,235.641403198242
2018-01-01 15:00:00,1616.84594726562,8.28225994110107,1695.53877696245,236.461395263671
2018-01-01 15:10:00,1796.82397460937,8.73455238342285,1974.47580025242,234.354797363281
2018-01-01 15:20:00,1885.86096191406,8.76410388946533,1993.17071186444,231.001602172851
2018-01-01 15:30:00,2327.51196289062,9.66943168640136,2568.82712862015,227.60009765625
2018-01-01 15:40:00,2499.162109375,10.1410903930664,2876.75361614448,227.73159790039
2018-01-01 15:50:00,2820.51293945312,10.7724199295043,3186.02988321436,225.276397705078
2018-01-01 16:00:00,2812.27905273437,10.6475200653076,3133.25922420184,224.680603027343
2018-01-01 16:10:00,2530.44702148437,9.98266124725341,2781.27404078649,225.519500732421
2018-01-01 16:20:00,2399.12109375,9.87438583374023,2711.49245838958,227.273803710937
2018-01-01 16:30:00,2335.587890625,9.78547954559326,2651.34100928894,229.255493164062
2018-01-01 16:40:00,2341.13305664062,9.61423206329345,2527.94545109623,230.736892700195
2018-01-01 16:50:00,2391.84790039062,9.61850452423095,2531.14793986697,229.490798950195
2018-01-01 17:00:00,2118.38989257812,9.09868335723876,2207.79281988587,223.960906982421
2018-01-01 17:10:00,1866.84594726562,8.67742538452148,1938.47860120954,219.793701171875
2018-01-01 17:20:00,1865.61901855468,8.77489852905273,2000.01171622122,219.04490661621
2018-01-01 17:30:00,1862.44799804687,8.68998146057128,1946.37395530494,215.335205078125
2018-01-01 17:40:00,1884.11901855468,8.63107395172119,1909.41625571088,216.279998779296
2018-01-01 17:50:00,1855.77697753906,8.61456966400146,1899.10073381649,214.529098510742
2018-01-01 18:00:00,1958.13305664062,9.218843460083,2285.9170315439,212.179901123046
2018-01-01 18:10:00,2228.24291992187,10.0495195388793,2822.50948979838,210.30859375
2018-01-01 18:20:00,2529.291015625,10.3187103271484,2974.86679599312,210.588104248046
2018-01-01 18:30:00,2788.25708007812,10.7667598724365,3183.72245968391,207.481399536132
2018-01-01 18:40:00,2692.92993164062,10.558250427246,3093.1106721875,208.551895141601
